mmu00010,Glycolysis / Gluconeogenesis
11975,Atp6v0a1
21871,Atp6v0a2
27060,Tcirg1
140494,Atp6v0a4
11972,Atp6v0d1
242341,Atp6v0d2
108664,Atp6v1h
54411,Atp6ap1
11984,Atp6v0c
114143,Atp6v0b
19025,Ctsa
13030,Ctsb
13032,Ctsc
13033,Ctsd
13034,Ctse
56464,Ctsf
13035,Ctsg
13036,Ctsh
26898,Ctsj
13038,Ctsk
13039,Ctsl
64139,Ctsm
229445,Ctso
13040,Ctss
13041,Ctsw
64138,Ctsz
16541,Napsa
19141,Lgmn
12751,Tpp1
11605,Gla
12091,Glb1
14387,Gaa
14466,Gba
15932,Idua
17939,Naga
27419,Naglu
14420,Galc
110006,Gusb
71665,Fuca1
66848,Fuca2
15211,Hexa
15212,Hexb
110173,Manba
17159,Man2b1
18010,Neu1
20690,Spam1
15586,Hyal1
15587,Hyal2
74468,Hyal5
77042,Hyal4
109685,Hyal3
74409,Hyal6
11883,Arsa
11881,Arsb
74008,Arsg
50917,Galns
75612,Gns
15931,Ids
27029,Sgsh
16889,Lipa
192654,Pla2g15
13423,Dnase2a
56629,Dnase2b
11432,Acp2
11433,Acp5
20597,Smpd1
11886,Asah1
11593,Aga
19156,Psap
76943,Psapl1
14667,Gm2a
19063,Ppt1
54397,Ppt2
16783,Lamp1
16784,Lamp2
239739,Lamp3
12514,Cd68
12512,Cd63
12492,Scarb2
18145,Npc1
67963,Npc2
83429,Ctns
235504,Slc17a5
18173,Slc11a1
18174,Slc11a2
114128,Laptm4b
17775,Laptm4a
16792,Laptm5
11305,Abca2
56325,Abcb9
53599,Cd164
67464,Entpd4
100862375,Entpd4b
20661,Sort1
12752,Cln3
211286,Cln5
72175,Mfsd8
52120,Hgsnat
58911,Sumf1
432486,Gnptab
214505,Gnptg
27426,Nagpa
16004,Igf2r
17113,M6pr
12757,Clta
74325,Cltb
67300,Cltc
11765,Ap1g1
11766,Ap1g2
11764,Ap1b1
11767,Ap1m1
11768,Ap1m2
108012,Ap1s2
11769,Ap1s1
252903,Ap1s3
11776,Ap3d1
11774,Ap3b1
11775,Ap3b2
55946,Ap3m1
64933,Ap3m2
11778,Ap3s2
11777,Ap3s1
108011,Ap4e1
67489,Ap4b1
11781,Ap4m1
11782,Ap4s1
106039,Gga1
260302,Gga3
74105,Gga2
94178,Mcoln1
56722,Litaf
mmu04144,Endocytosis
11845,Arf6
18717,Pip5k1c
18719,Pip5k1b
18720,Pip5k1a
227733,Pip5kl1
18806,Pld2
18805,Pld1
13429,Dnm1
103967,Dnm3
13430,Dnm2
12757,Clta
74325,Cltb
67300,Cltc
11772,Ap2a2
11771,Ap2a1
71770,Ap2b1
11773,Ap2m1
232910,Ap2s1
259300,Ehd2
21812,Tgfbr1
21813,Tgfbr2
218441,Zfyve16
230597,Zfyve9
18854,Pml
17126,Smad2
17127,Smad3
22042,Tfrc
13649,Egfr
18595,Pdgfra
14183,Fgfr2
14184,Fgfr3
14186,Fgfr4
16001,Igf1r
12402,Cbl
208650,Cblb
80794,Cblc
58194,Sh3kbp1
20408,Sh3gl3
20404,Sh3gl2
20405,Sh3gl1
54673,Sh3glb1
227700,Sh3glb2
218038,Amph
30948,Bin1
13854,Epn1
13855,Epn2
71889,Epn3
13858,Eps15
13859,Eps15l1
229285,Spg20
17999,Nedd4
83814,Nedd4l
17246,Mdm2
22034,Traf6
67588,Rnf41
16396,Itch
66313,Smurf2
75788,Smurf1
107568,Wwp1
16835,Ldlr
100017,Ldlrap1
13132,Dab2
12774,Ccr5
227288,Cxcr1
12765,Cxcr2
12767,Cxcr4
24013,Grk1
110355,Grk2
320129,Grk3
14772,Grk4
14773,Grk5
26385,Grk6
109689,Arrb1
216869,Arrb2
73178,Wasl
11867,Arpc1b
56443,Arpc1a
76709,Arpc2
56378,Arpc3
68089,Arpc4
67771,Arpc5
74192,Arpc5l
215280,Wipf1
68524,Wipf2
330319,Wipf3
15481,Hspa8
15482,Hspa1l
193740,Hspa1a
15512,Hspa2
15511,Hspa1b
72685,Dnajc6
319277,Washc4
223593,Washc5
28006,Washc2
68767,Washc1
67282,Washc3
12340,Capza1
12343,Capza2
12344,Capza3
12345,Capzb
56433,Vps29
30930,Vps26a
69091,Vps26b
65114,Vps35
54198,Snx3
55988,Snx12
84092,Usp8
70527,Stambp
19349,Rab7
15239,Hgs
20844,Stam
56324,Stam2
22088,Tsg101
73711,Mvb12a
72543,Mvb12b
66914,Vps28
194309,Vps37d
330192,Vps37b
107305,Vps37c
52348,Vps37a
27681,Snf8
70160,Vps36
28084,Vps25
208092,Chmp6
66371,Chmp4c
75608,Chmp4b
66700,Chmp3
68953,Chmp2a
68942,Chmp2b
105513,Chmp7
20479,Vps4b
116733,Vps4a
66201,Vta1
67028,2610002M06Rik
67064,Chmp1b
234852,Chmp1a
76959,Chmp5
71955,Ist1
18571,Pdcd6ip
27965,Spg21
16004,Igf2r
56440,Snx1
67804,Snx2
225861,Snx32
69178,Snx5
72183,Snx6
20779,Src
15461,Hras
16184,Il2ra
16185,Il2rb
16186,Il2rg
11848,Rhoa
67653,4930544G11Rik
14990,H2-M2
14991,H2-M3
14997,H2-M9
15006,H2-Q1
15007,H2-Q10
15013,H2-Q2
15018,H2-Q7
15019,H2-Q8
15039,H2-T22
15040,H2-T23
15042,H2-T24
15043,H2-T3
15051,H2-T9
224753,H2-M10.4
224754,H2-M11
224756,H2-M1
224761,H2-M10.5
333715,H2-M10.2
399549,H2-M10.6
15024,H2-T10
110557,H2-Q6
110696,H2-M10.3
14963,H2-Bl
14964,H2-D1
14972,H2-K1
14985,H2-M10.1
547349,H2-K1
15033,H2-T18
110558,H2-Q9
667977,Gm8909
14980,H2-L
69717,Gm10499
15015,H2-Q4
667803,H2-T-ps
100529082,Gm11127
240095,H2-M5
630294,Gm7030
14275,Folr1
14276,Folr2
64931,Izumo1r
12389,Cav1
12390,Cav2
12391,Cav3
57440,Ehd3
98878,Ehd4
216238,Eea1
271457,Rab5a
19344,Rab5b
19345,Rab5c
54189,Rabep1
78287,Rbsn
19341,Rab4a
216724,Rufy1
13660,Ehd1
22365,Vps45
69150,Snx4
19334,Rab22a
106572,Rab31
19325,Rab10
17274,Rab8a
77407,Rab35
53869,Rab11a
19326,Rab11b
74998,Rab11fip2
75767,Rab11fip1
52055,Rab11fip5
319740,Zfyve27
16572,Kif5a
16573,Kif5b
16574,Kif5c
268451,Rab11fip4
215445,Rab11fip3
93742,Pard3
56513,Pard6a
58220,Pard6b
93737,Pard6g
18762,Prkcz
18759,Prkci
12540,Cdc42
69780,Smap2
98366,Smap1
216963,Git1
26431,Git2
230837,Asap3
211914,Asap2
13196,Asap1
140500,Acap3
216859,Acap1
78618,Acap2
69710,Arap1
212285,Arap2
106952,Arap3
213990,Agap3
347722,Agap1
216439,Agap2
228998,Arfgap1
66251,Arfgap3
77038,Arfgap2
215632,Psd4
234353,Psd3
73728,Psd
74002,Psd2
245666,Iqsec2
232227,Iqsec1
243621,Iqsec3
19157,Cyth1
19158,Cyth2
19159,Cyth3
72318,Cyth4
211673,Arfgef1
99371,Arfgef2
107338,Gbf1
11840,Arf1
11841,Arf2
11842,Arf3
11843,Arf4
11844,Arf5
mmu04145,Phagosome
22319,Vamp3
100226,Stx12
53331,Stx7
11465,Actg1
11461,Actb
12721,Coro1a
71116,Stx18
20333,Sec22b
14990,H2-M2
14991,H2-M3
14997,H2-M9
15006,H2-Q1
15007,H2-Q10
15013,H2-Q2
15018,H2-Q7
15019,H2-Q8
15039,H2-T22
15040,H2-T23
15042,H2-T24
15043,H2-T3
15051,H2-T9
224753,H2-M10.4
224754,H2-M11
224756,H2-M1
224761,H2-M10.5
333715,H2-M10.2
399549,H2-M10.6
15024,H2-T10
110557,H2-Q6
110696,H2-M10.3
14963,H2-Bl
14964,H2-D1
14972,H2-K1
14985,H2-M10.1
547349,H2-K1
15033,H2-T18
110558,H2-Q9
667977,Gm8909
14980,H2-L
69717,Gm10499
15015,H2-Q4
667803,H2-T-ps
100529082,Gm11127
240095,H2-M5
630294,Gm7030
14960,H2-Aa
14961,H2-Ab1
14969,H2-Eb1
14998,H2-DMa
14999,H2-DMb1
15000,H2-DMb2
15001,H2-Oa
15002,H2-Ob
100504404,H2-Ea
271457,Rab5a
19344,Rab5b
19345,Rab5c
216238,Eea1
225326,Pik3c3
22042,Tfrc
15239,Hgs
11964,Atp6v1a
11966,Atp6v1b2
110935,Atp6v1b1
66335,Atp6v1c1
68775,Atp6v1c2
73834,Atp6v1d
11973,Atp6v1e1
74915,Atp6v1e2
66144,Atp6v1f
66237,Atp6v1g2
66290,Atp6v1g1
338375,Atp6v1g3
11974,Atp6v0e
76252,Atp6v0e2
11975,Atp6v0a1
21871,Atp6v0a2
27060,Tcirg1
140494,Atp6v0a4
11972,Atp6v0d1
242341,Atp6v0d2
108664,Atp6v1h
11984,Atp6v0c
114143,Atp6v0b
54411,Atp6ap1
19349,Rab7
226421,Rab7b
280408,Rilp
13424,Dync1h1
110350,Dync2h1
13426,Dync1i1
13427,Dync1i2
234663,Dync1li2
235661,Dync1li1
22145,Tuba4a
22144,Tuba3a
22142,Tuba1a
22146,Tuba1c
22147,Tuba3b
22143,Tuba1b
53857,Tuba8
238463,Tubal3
227613,Tubb4b
22151,Tubb2a
22152,Tubb3
22153,Tubb4a
67951,Tubb6
22154,Tubb5
545486,Tubb1
73710,Tubb2b
16783,Lamp1
16784,Lamp2
18711,Pikfyve
17113,M6pr
18125,Nos1
17523,Mpo
13039,Ctsl
13040,Ctss
53421,Sec61a1
57743,Sec61a2
66212,Sec61b
20335,Sec61g
100046078,Gm15266
21354,Tap1
21355,Tap2
12317,Calr
12330,Canx
14129,Fcgr1
14130,Fcgr2b
14131,Fcgr3
246256,Fcgr4
50909,C1ra
667277,C1rb
16409,Itgam
16414,Itgb2
16415,Itgb2l
12266,C3
71693,Colec11
140792,Colec12
17194,Mbl1
17195,Mbl2
20387,Sftpa1
20390,Sftpd
16410,Itgav
16398,Itga2
16402,Itga5
16412,Itgb1
16416,Itgb3
16419,Itgb5
21825,Thbs1
12845,Comp
21826,Thbs2
21827,Thbs3
21828,Thbs4
24088,Tlr2
21899,Tlr6
21898,Tlr4
12475,Cd14
17533,Mrc1
17534,Mrc2
18779,Pla2r1
170776,Cd209c
170779,Cd209d
170780,Cd209e
170786,Cd209a
69165,Cd209b
69142,Cd209f
70192,Cd209g
56644,Clec7a
20288,Msr1
17167,Marco
108078,Olr1
20778,Scarb1
12491,Cd36
13057,Cyba
13058,Cybb
19353,Rac1
17969,Ncf1
17970,Ncf2
17972,Ncf4
mmu04146,Peroxisome
18633,Pex16
56535,Pex3
19298,Pex19
19299,Abcd3
71382,Pex1
224824,Pex6
74043,Pex26
18634,Pex7
19305,Pex5
58869,Pex5l
56273,Pex14
72129,Pex13
103737,Pex12
668173,Pex10
19302,Pex2
19301,Pxmp2
17527,Mpv17
234384,Mpv17l2
93734,Mpv17l
59038,Pxmp4
18631,Pex11a
18632,Pex11b
69129,Pex11g
20524,Slc25a17
56794,Hacl1
17117,Amacr
16922,Phyh
80911,Acox3
11430,Acox1
93732,Acox2
15488,Hsd17b4
20280,Scp2
12012,Baat
74147,Ehhadh
113868,Acaa1a
235674,Acaa1b
26378,Decr2
51798,Ech1
11666,Abcd1
26874,Abcd2
19300,Abcd4
26458,Slc27a2
14081,Acsl1
50790,Acsl4
216739,Acsl6
74205,Acsl3
433256,Acsl5
111175,Pecr
23986,Eci2
69123,Eci3
67528,Nudt7
67993,Nudt12
110959,Nudt19
170789,Acot8
12908,Crat
74114,Crot
56690,Mlycd
14712,Gnpat
228061,Agps
330450,Far2
67420,Far1
17855,Mvk
68603,Pmvk
11611,Agxt
13142,Dao
70503,Ddo
15926,Idh1
269951,Idh2
212503,Paox
19193,Pipox
15356,Hmgcl
208982,Hmgcll1
56185,Hao2
15112,Hao1
12359,Cat
54683,Prdx5
20655,Sod1
20656,Sod2
18126,Nos2
18477,Prdx1
13850,Ephx2
76263,Gstk1
22436,Xdh
28200,Dhrs4
mmu04150,mTOR signaling pathway
20539,Slc7a5
17254,Slc3a2
268706,Slc38a9
11964,Atp6v1a
11966,Atp6v1b2
110935,Atp6v1b1
66335,Atp6v1c1
68775,Atp6v1c2
73834,Atp6v1d
11973,Atp6v1e1
74915,Atp6v1e2
66144,Atp6v1f
66237,Atp6v1g2
66290,Atp6v1g1
338375,Atp6v1g3
108664,Atp6v1h
66508,Lamtor1
83409,Lamtor2
56692,Lamtor3
66096,Lamtor4
68576,Lamtor5
216805,Flcn
216742,Fnip1
329679,Fnip2
68441,Rraga
245670,Rragb
52187,Rragd
54170,Rragc
230784,Sesn2
71962,Castor1
80909,Castor2
252875,Mios
72124,Seh1l
268933,Wdr24
319481,Wdr59
110379,Sec13
277854,Depdc5
56032,Nprl2
17168,Nprl3
27401,Skp2
320311,Rnf152
74370,Rptor
67605,Akt1s1
56717,Mtor
97998,Deptor
56716,Mlst8
71718,Telo2
75425,Tti1
56430,Clip1
14783,Grb10
14245,Lpin1
64899,Lpin3
64898,Lpin2
22241,Ulk1
29869,Ulk2
13685,Eif4ebp1
13684,Eif4e
26987,Eif4e2
218268,Eif4e1b
58988,Rps6kb2
72508,Rps6kb1
75705,Eif4b
20104,Rps6
72149,Strada
227154,Stradb
20869,Stk11
12283,Cab39
69008,Cab39l
105787,Prkaa1
108079,Prkaa2
64930,Tsc1
22084,Tsc2
67046,Tbc1d7
19744,Rheb
74747,Ddit4
22408,Wnt1
22413,Wnt2
22414,Wnt2b
22415,Wnt3
22416,Wnt3a
22417,Wnt4
22418,Wnt5a
22419,Wnt5b
22420,Wnt6
22421,Wnt7a
22422,Wnt7b
20890,Wnt8a
22423,Wnt8b
216795,Wnt9a
22412,Wnt9b
22410,Wnt10b
22409,Wnt10a
22411,Wnt11
93735,Wnt16
14362,Fzd1
14369,Fzd7
57265,Fzd2
14365,Fzd3
14366,Fzd4
14367,Fzd5
14370,Fzd8
14368,Fzd6
93897,Fzd10
14371,Fzd9
16973,Lrp5
16974,Lrp6
13544,Dvl3
13542,Dvl1
13543,Dvl2
56637,Gsk3b
21926,Tnf
21937,Tnfrsf1a
16150,Ikbkb
16334,Ins2
16333,Ins1
16000,Igf1
16337,Insr
16001,Igf1r
14784,Grb2
20662,Sos1
20663,Sos2
15461,Hras
16653,Kras
18176,Nras
109880,Braf
110157,Raf1
26395,Map2k1
26396,Map2k2
26413,Mapk1
26417,Mapk3
110651,Rps6ka3
20111,Rps6ka1
20112,Rps6ka2
67071,Rps6ka6
16367,Irs1
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
19211,Pten
18607,Pdpk1
11651,Akt1
11652,Akt2
23797,Akt3
12675,Chuk
227743,Mapkap1
78757,Rictor
109270,Prr5
11848,Rhoa
67653,4930544G11Rik
18750,Prkca
18751,Prkcb
18752,Prkcg
20393,Sgk1
mmu04151,PI3K-Akt signaling pathway
13645,Egf
21802,Tgfa
13874,Ereg
11839,Areg
14164,Fgf1
14173,Fgf2
14174,Fgf3
14175,Fgf4
14176,Fgf5
14178,Fgf7
14179,Fgf8
14180,Fgf9
14165,Fgf10
80903,Fgf16
14171,Fgf17
14172,Fgf18
80857,Fgf20
67112,Fgf22
14177,Fgf6
14170,Fgf15
56636,Fgf21
64654,Fgf23
18048,Klk1b4
18049,Ngf
12064,Bdnf
18205,Ntf3
78405,Ntf5
16334,Ins2
16333,Ins1
16000,Igf1
16002,Igf2
18590,Pdgfa
18591,Pdgfb
54635,Pdgfc
71785,Pdgfd
12977,Csf1
17311,Kitl
14256,Flt3l
22339,Vegfa
22340,Vegfb
18654,Pgf
22341,Vegfc
14205,Vegfd
15234,Hgf
11600,Angpt1
11601,Angpt2
11602,Angpt4
13636,Efna1
13637,Efna2
13639,Efna4
13640,Efna5
13638,Efna3
13649,Egfr
13866,Erbb2
13867,Erbb3
13869,Erbb4
14182,Fgfr1
14183,Fgfr2
14184,Fgfr3
14186,Fgfr4
18053,Ngfr
18211,Ntrk1
18212,Ntrk2
16337,Insr
16001,Igf1r
18595,Pdgfra
18596,Pdgfrb
12978,Csf1r
16590,Kit
14255,Flt3
14254,Flt1
14257,Flt4
16542,Kdr
17295,Met
21687,Tek
13836,Epha2
14784,Grb2
20662,Sos1
20663,Sos2
15461,Hras
16653,Kras
18176,Nras
110157,Raf1
26395,Map2k1
26396,Map2k2
26413,Mapk1
26417,Mapk3
16367,Irs1
24088,Tlr2
21898,Tlr4
19353,Rac1
20963,Syk
12478,Cd19
83490,Pik3ap1
14599,Gh
19109,Prl
18413,Osm
16183,Il2
16187,Il3
16193,Il6
16189,Il4
16196,Il7
15962,Ifna1
15965,Ifna2
15967,Ifna4
15968,Ifna5
15969,Ifna6
15970,Ifna7
15972,Ifna9
15964,Ifna11
242519,Ifna12
230396,Ifna13
404549,Ifna14
15974,Ifnab
242517,Ifna15
15977,Ifnb1
13856,Epo
12985,Csf3
14600,Ghr
19116,Prlr
18414,Osmr
16184,Il2ra
16185,Il2rb
16186,Il2rg
16188,Il3ra
16194,Il6ra
16190,Il4ra
16197,Il7r
15975,Ifnar1
15976,Ifnar2
13857,Epor
12986,Csf3r
16451,Jak1
16452,Jak2
16453,Jak3
12842,Col1a1
12843,Col1a2
12824,Col2a1
12826,Col4a1
12827,Col4a2
12829,Col4a4
94216,Col4a6
12830,Col4a5
12828,Col4a3
12834,Col6a2
12833,Col6a1
245026,Col6a6
12835,Col6a3
68553,Col6a4
665033,Col6a5
12839,Col9a1
12840,Col9a2
12841,Col9a3
16772,Lama1
16773,Lama2
16774,Lama3
16776,Lama5
16775,Lama4
16777,Lamb1
16779,Lamb2
16780,Lamb3
226519,Lamc1
16782,Lamc2
23928,Lamc3
12643,Chad
19699,Reln
21825,Thbs1
12845,Comp
21826,Thbs2
21827,Thbs3
21828,Thbs4
14268,Fn1
20750,Spp1
22370,Vtn
21923,Tnc
21960,Tnr
329278,Tnn
81877,Tnxb
22371,Vwf
15891,Ibsp
109700,Itga1
16398,Itga2
16399,Itga2b
16400,Itga3
16401,Itga4
16402,Itga5
16403,Itga6
16404,Itga7
241226,Itga8
104099,Itga9
213119,Itga10
319480,Itga11
16410,Itgav
16412,Itgb1
16416,Itgb3
192897,Itgb4
16419,Itgb5
16420,Itgb6
16421,Itgb7
320910,Itgb8
14083,Ptk2
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
14062,F2r
12669,Chrm1
243764,Chrm2
14745,Lpar1
53978,Lpar2
65086,Lpar3
78134,Lpar4
381810,Lpar5
67168,Lpar6
14688,Gnb1
14693,Gnb2
14695,Gnb3
14696,Gnb4
14697,Gnb5
14702,Gng2
14704,Gng3
14706,Gng4
14707,Gng5
14708,Gng7
14709,Gng8
14700,Gng10
66066,Gng11
14701,Gng12
100503710,Gm5741
64337,Gng13
14699,Gngt1
14710,Gngt2
30955,Pik3cg
320207,Pik3r5
104709,Pik3r6
18607,Pdpk1
20869,Stk11
105787,Prkaa1
108079,Prkaa2
74747,Ddit4
64930,Tsc1
22084,Tsc2
19744,Rheb
56716,Mlst8
56717,Mtor
74370,Rptor
13685,Eif4ebp1
13684,Eif4e
26987,Eif4e2
218268,Eif4e1b
58988,Rps6kb2
72508,Rps6kb1
75705,Eif4b
20104,Rps6
18750,Prkca
320795,Pkn1
109333,Pkn2
263803,Pkn3
20393,Sgk1
27219,Sgk2
170755,Sgk3
11651,Akt1
11652,Akt2
23797,Akt3
14924,Magi1
50791,Magi2
19211,Pten
75778,Them4
19052,Ppp2ca
19053,Ppp2cb
51792,Ppp2r1a
73699,Ppp2r1b
52432,Ppp2r2d
72930,Ppp2r2b
269643,Ppp2r2c
71978,Ppp2r2a
100039815,Gm2436
100039830,Gm2446
59032,Ppp2r3c
235542,Ppp2r3a
19054,Ppp2r3d
225849,Ppp2r5b
26931,Ppp2r5c
21770,Ppp2r5d
26932,Ppp2r5e
226849,Ppp2r5a
15519,Hsp90aa1
15516,Hsp90ab1
22027,Hsp90b1
12539,Cdc37
74343,Crtc2
98432,Phlpp1
244650,Phlpp2
21432,Tcl1
27379,Tcl1b1
27380,Tcl1b4
17763,Mtcp1
18127,Nos3
12189,Brca1
56637,Gsk3b
14936,Gys1
232493,Gys2
18534,Pck1
74551,Pck2
14377,G6pc
14378,G6pc2
68401,G6pc3
17869,Myc
12443,Ccnd1
12575,Cdkn1a
12576,Cdkn1b
12566,Cdk2
12567,Cdk4
12571,Cdk6
12444,Ccnd2
12445,Ccnd3
12447,Ccne1
12448,Ccne2
56484,Foxo3
19651,Rbl2
14103,Fasl
12125,Bcl2l11
22631,Ywhaz
54401,Ywhab
22630,Ywhaq
22627,Ywhae
22629,Ywhah
22628,Ywhag
12015,Bad
12048,Bcl2l1
12043,Bcl2
12371,Casp9
12912,Creb1
11909,Atf2
11911,Atf4
12913,Creb3
26427,Creb3l1
208647,Creb3l2
208677,Creb3l3
78284,Creb3l4
231991,Creb5
12915,Atf6b
17210,Mcl1
20181,Rxra
15370,Nr4a1
16151,Ikbkg
12675,Chuk
16150,Ikbkb
19697,Rela
18033,Nfkb1
17863,Myb
17246,Mdm2
22059,Trp53
mmu04152,AMPK signaling pathway
26409,Map3k7
20869,Stk11
12283,Cab39
69008,Cab39l
72149,Strada
227154,Stradb
16846,Lep
16847,Lepr
207565,Camkk2
11549,Adra1a
11450,Adipoq
72674,Adipor1
68465,Adipor2
105787,Prkaa1
108079,Prkaa2
19079,Prkab1
108097,Prkab2
19082,Prkag1
241113,Prkag3
108099,Prkag2
18639,Pfkfb1
18640,Pfkfb2
170768,Pfkfb3
270198,Pfkfb4
14121,Fbp1
14120,Fbp2
18641,Pfkl
18642,Pfkm
56421,Pfkp
15378,Hnf4a
14377,G6pc
14378,G6pc2
68401,G6pc3
18534,Pck1
74551,Pck2
74343,Crtc2
12912,Creb1
12913,Creb3
26427,Creb3l1
208647,Creb3l2
208677,Creb3l3
78284,Creb3l4
231991,Creb5
19017,Ppargc1a
15568,Elavl1
12443,Ccnd1
12428,Ccna2
12427,Ccna1
13631,Eef2k
13629,Eef2
56458,Foxo1
56484,Foxo3
93759,Sirt1
20528,Slc2a4
14936,Gys1
232493,Gys2
16890,Lipe
15357,Hmgcr
20787,Srebf1
14104,Fasn
107476,Acaca
20249,Scd1
20250,Scd2
30049,Scd3
329065,Scd4
100705,Acacb
56690,Mlycd
12894,Cpt1a
12895,Cpt1b
78070,Cpt1c
19052,Ppp2ca
19053,Ppp2cb
51792,Ppp2r1a
73699,Ppp2r1b
52432,Ppp2r2d
72930,Ppp2r2b
269643,Ppp2r2c
71978,Ppp2r2a
100039815,Gm2436
100039830,Gm2446
59032,Ppp2r3c
235542,Ppp2r3a
19054,Ppp2r3d
225849,Ppp2r5b
26931,Ppp2r5c
21770,Ppp2r5d
26932,Ppp2r5e
226849,Ppp2r5a
57915,Tbc1d1
59021,Rab2a
17274,Rab8a
19325,Rab10
19326,Rab11b
68365,Rab14
12638,Cftr
12491,Cd36
16000,Igf1
16001,Igf1r
16334,Ins2
16333,Ins1
16337,Insr
16367,Irs1
384783,Irs2
16369,Irs3
16370,Irs4
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
18607,Pdpk1
11651,Akt1
11652,Akt2
23797,Akt3
22084,Tsc2
64930,Tsc1
19744,Rheb
56717,Mtor
74370,Rptor
67605,Akt1s1
58988,Rps6kb2
72508,Rps6kb1
13685,Eif4ebp1
19016,Pparg
22241,Ulk1
mmu04210,Apoptosis
22035,Tnfsf10
21933,Tnfrsf10b
14103,Fasl
14102,Fas
14082,Fadd
21926,Tnf
21937,Tnfrsf1a
71609,Tradd
12633,Cflar
12370,Casp8
12368,Casp6
12367,Casp3
12369,Casp7
12122,Bid
12028,Bax
12018,Bak1
66593,Diablo
18952,Septin4
64704,Htra2
13063,Cycs
13067,Cyct
11783,Apaf1
12371,Casp9
18646,Prf1
14939,Gzmb
22145,Tuba4a
22144,Tuba3a
22142,Tuba1a
22146,Tuba1c
22147,Tuba3b
22143,Tuba1b
53857,Tuba8
238463,Tubal3
17210,Mcl1
11465,Actg1
11461,Actb
20739,Spta1
20740,Sptan1
16905,Lmna
16906,Lmnb1
16907,Lmnb2
11545,Parp1
11546,Parp2
235587,Parp3
328417,Parp4
13347,Dffa
13368,Dffb
13804,Endog
26926,Aifm1
78943,Ern1
22030,Traf2
16438,Itpr1
16439,Itpr2
16440,Itpr3
12333,Capn1
12334,Capn2
12364,Casp12
13666,Eif2ak3
13665,Eif2s1
11911,Atf4
13198,Ddit3
13030,Ctsb
13032,Ctsc
13033,Ctsd
56464,Ctsf
13036,Ctsh
13038,Ctsk
13039,Ctsl
229445,Ctso
13040,Ctss
13041,Ctsw
64138,Ctsz
11797,Birc2
11796,Birc3
11798,Xiap
11799,Birc5
12125,Bcl2l11
12048,Bcl2l1
12043,Bcl2
13163,Daxx
19766,Ripk1
69601,Dab2ip
26408,Map3k5
26419,Mapk8
26420,Mapk9
26414,Mapk10
12015,Bad
16476,Jun
14281,Fos
22059,Trp53
12123,Hrk
53859,Map3k14
12675,Chuk
16150,Ikbkb
16151,Ikbkg
18035,Nfkbia
18033,Nfkb1
19697,Rela
19249,Ptpn13
13197,Gadd45a
17873,Gadd45b
23882,Gadd45g
22029,Traf1
12047,Bcl2a1d
12044,Bcl2a1a
12045,Bcl2a1b
12046,Bcl2a1c
11920,Atm
57913,Pidd1
170770,Bbc3
58801,Pmaip1
12366,Casp2
18049,Ngf
18211,Ntrk1
16187,Il3
16188,Il3ra
12984,Csf2rb2
12983,Csf2rb
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
18607,Pdpk1
11651,Akt1
11652,Akt2
23797,Akt3
15461,Hras
16653,Kras
18176,Nras
110157,Raf1
26395,Map2k1
26396,Map2k2
26413,Mapk1
26417,Mapk3
mmu04211,Longevity regulating pathway
16334,Ins2
16333,Ins1
16337,Insr
16000,Igf1
16001,Igf1r
16367,Irs1
384783,Irs2
16369,Irs3
16370,Irs4
15461,Hras
16653,Kras
18176,Nras
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
11651,Akt1
11652,Akt2
23797,Akt3
432530,Adcy1
210044,Adcy2
104111,Adcy3
104110,Adcy4
224129,Adcy5
11512,Adcy6
11513,Adcy7
11514,Adcy8
11515,Adcy9
18747,Prkaca
18749,Prkacb
12912,Creb1
11909,Atf2
12913,Creb3
26427,Creb3l1
208647,Creb3l2
208677,Creb3l3
78284,Creb3l4
11911,Atf4
231991,Creb5
12915,Atf6b
110147,Ehmt2
77683,Ehmt1
56458,Foxo1
56484,Foxo3
20656,Sod2
12359,Cat
11793,Atg5
16591,Kl
64930,Tsc1
22084,Tsc2
19744,Rheb
56717,Mtor
74370,Rptor
67605,Akt1s1
22241,Ulk1
51897,Atg13
12421,Rb1cc1
68118,Atg101
58988,Rps6kb2
72508,Rps6kb1
13685,Eif4ebp1
13684,Eif4e
26987,Eif4e2
218268,Eif4e1b
11450,Adipoq
72674,Adipor1
68465,Adipor2
72993,Appl1
207565,Camkk2
105787,Prkaa1
108079,Prkaa2
19079,Prkab1
108097,Prkab2
19082,Prkag1
241113,Prkag3
108099,Prkag2
93759,Sirt1
12028,Bax
22059,Trp53
18033,Nfkb1
19697,Rela
19016,Pparg
19017,Ppargc1a
20869,Stk11
140742,Sesn1
75747,Sesn3
230784,Sesn2
12326,Camk4
mmu04213,Longevity regulating pathway - multiple species
16334,Ins2
16333,Ins1
